"Query" "Match" "HMDB" "PubChem" "KEGG" "SMILES" "Comment"
"D-Galactosamine" "D-Galactosamine" NA 3034366 "C02262" NA 1
"D-GalacturonicAcid" "D-Galacturonic acid" "HMDB0002545" 84740 "C00333" "O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O" 1
"D-Glucosamine" "D-Glucosamine" "HMDB0001514" 439213 "C00329" "N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O" 1
"Dihydroxyacetone-phosphate" "Dihydroxyacetone-phosphate" "HMDB0001473" 668 "C00111" "OCC(=O)COP(O)(O)=O" 1
"DocosahexaenoicAcid" "Docosahexaenoic acid" "HMDB0002183" 445580 "C06429" "CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O" 1
"D-Ribose" "D-Ribose" "HMDB0000283" 5779 "C00121" "OC[C@H]1OC(O)[C@H](O)[C@@H]1O" 1
"D-Ribulose-1,5-bisphosphate" "D-Ribulose-1,5-bisphosphate" NA 123658 "C01182" NA 1
"D-Xylose" "D-Xylose" "HMDB0000098" 135191 "C00181" "O[C@@H]1COC(O)[C@H](O)[C@H]1O" 1
"gamma-LinolenicAcid" "gamma-Linolenic acid" "HMDB0003073" 5280933 "C06426" "CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O" 1
"L-Arabinose" "L-Arabinose" "HMDB0000646" 439764 "C00259" "O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O" 1
"LinoleicAcid" "Linoleic acid" "HMDB0000673" 5280450 "C01595" "CCCCC\C=C/C\C=C/CCCCCCCC(O)=O" 1
"L-Rhamnose" "L-Rhamnose" "HMDB0000849" 25310 "C00507" "C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O" 1
"N-AcetylneuraminicAcid" "N-Acetylneuraminic acid" "HMDB0000230" 445063 "C00270" "[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO" 1
"OleicAcid" "Oleic acid" "HMDB0000207" 445639 "C00712" "CCCCCCCC\C=C/CCCCCCCC(O)=O" 1
"Phosphoenolpyruvate" "Phosphoenolpyruvate" "HMDB0000263" 1005 "C00074" "OC(=O)C(=C)OP(O)(O)=O" 1
"PhosphoglycolicAcid" "Phosphoglycolic acid" "HMDB0000816" 529 "C00988" "OC(=O)COP(O)(O)=O" 1
"Retinal" "Retinal" "HMDB0001358" 638015 "C00376" "C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O" 1
"StearicAcid" "Stearic acid" "HMDB0000827" 5281 "C01530" "CCCCCCCCCCCCCCCCCC(O)=O" 1
"Long-chain_alkane" "Long-chain_alkane" NA 354264355 "C21763" NA 1
"Saturated_fatty_acids" "Saturated_fatty_acids" "HMDB0000806" 8659 "C06424" "CCCCCCCCCCCCCC(O)=O" 1
